"Folio de Factura","Fecha","No. OC Cliente","Ref. cliente","Cliente","Producto","Cantidad","Categoría de producto","Estado","Tipo"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","caja rsc 180302840 180302840",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","celda armada 180302870 180302870",80,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180022270 linner cmp1210 linner 180022270 l42 p",1000,"carton producto comercializacion carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180003720 caja rsc 180003720 caja rsc",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180203000 180203000",50,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180203030 180203030",300,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111940 caja 180111940",70,"carton producto terminado carton","posted","Empaques Primarios"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111980 hsc 180111980 hsc",60,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180111990 celda armada 180111990",100,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180112030 celda armada 180112030 celda armada",60,"carton producto terminado carton","posted","Otros"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180112040 tapa 180112040",180,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26722",2021-01-04,"f2672247","65","grupo antolin saltillo","180205070 caja de carton low roof ebw ford low roof hsc",20,"carton producto terminado carton","posted","Empaques Primarios"
"f26723",2021-01-04,"f2672348","ramos ii","yanfeng international automotive technology mexico","f30015 tesla nv26 flr cnsl end panel tesla nv26 flr cnsl end panel",5,"carton kit carton","posted","Otros"
"f26724",2021-01-04,"f2672449","18","yanfeng international automotive technology mexico","f30008 rejillas de 52 cav 3957150 3957150 ptndt b upr itb 52 cell 3957150 ptndt b upr itb 52 cell",20,"carton producto terminado carton","posted","Otros"
"f26725",2021-01-04,"f2672550","26","stabilus","herramental para caja individual triang herramental para caja individual triang",1,"servicios","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","427862 as 30 99 0000 00 000 carton nextracker kit copia nextracker kit rev 2",57,"carton kit carton","posted","Kits de Empaque"
"f26726",2021-01-04,"f2672651","26","stabilus","938591 fs 30 99 0000 00 000 carton box 938591 size 16 13876 16 caja terminada",2371,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","939069 fs 30 99 0000 00 000 carton box 939069 34 15676 34 caja terminada",690,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","939308 fs 30 99 0000 00 000 carton box 939308 size 48 48 caja terminada",500,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","643920 cart som 7468x5690x2921 rsc box 643920 stabomat 13891 643920 stabomat caja",230,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","427623 as 30 99 0000 00 000 carton box tmc 150 tesla box tmc 150 tesla",574,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","429296 as 30 99 0000 00 000 inserto insert tmc 150 tesla 14783 tmc150 inserto",2296,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26726",2021-01-04,"f2672651","26","stabilus","357790 fs 30 99 0000 00 000 carton box 357790 box 357790",669,"carton kit carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","358268 fs 30 99 0000 00 000 carton box 358268 box 358268",320,"carton kit carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","938830 fs 30 99 0000 00 000 carton size 24 13877 24 caja terminada",1110,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","642762 packing sheet 5652x7429 insert 642762 14301 642762 pad sm",550,"carton producto terminado carton","posted","Materiales de Protección"
"f26726",2021-01-04,"f2672651","26","stabilus","431208 fs 30 99 0000 00 000 listones triangular corner board 45 corner board 45",1500,"carton producto comercializacion carton","posted","Otros"
"f26726",2021-01-04,"f2672651","26","stabilus","430969 fs 30 99 0000 00 000 listones triangular corner board 48 corner board 48",1500,"carton producto comercializacion carton","posted","Otros"
"f26726",2021-01-04,"f2672651","26","stabilus","754549 fs 30 99 0000 00 000 inserto box 754549 mopar box 754549 mopar",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","051660 fs 30 99 0000 00 000 carton box 051660 sunrise medical box 051660 sunrise medical",50,"carton kit carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","454630 as 30 99 0000 00 000 carton 241 b kit 241b export kit",72,"carton kit carton","posted","Kits de Empaque"
"f26726",2021-01-04,"f2672651","26","stabilus","560249 as 30 99 0000 00 000 carton box 560249 bmw bmw exportacion box 560249 bmw",13,"carton kit carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","3893vk fs 30 99 0000 00 000 carton corrugado pad 3893vk small pad 3893vk small",100,"carton producto terminado carton","posted","Materiales de Protección"
"f26726",2021-01-04,"f2672651","26","stabilus","496455 fs 30 99 0000 00 000 carton box 0371813 box 0371813",515,"carton producto terminado carton","posted","Empaques Primarios"
"f26726",2021-01-04,"f2672651","26","stabilus","734949 fs 30 99 0000 00 000 carton kit 734949 kit st92",15,"carton kit carton","posted","Kits de Empaque"
"f26726",2021-01-04,"f2672651","26","stabilus","3895va fs 30 99 0000 00 000 carton corrugado pad 3895va large va 3895 large pad",100,"carton producto terminado carton","posted","Materiales de Protección"
"f26726",2021-01-04,"f2672651","26","stabilus","3894vf fs 30 99 0000 00 000 carton corrugado pad 3894vf medium 14452 vf3894 separador",100,"carton producto terminado carton","posted","Materiales de Protección"
"f26726",2021-01-04,"f2672651","26","stabilus","427384 as 30 99 0000 00 000 carton gaylord array planta 1 kit array alterno",79,"carton kit carton","posted","Kits de Empaque"
"f26727",2021-01-04,"f2672752","55","iacna mexico v","cadillac console kit end cap end cap console",5,"carton kit carton","posted","Kits de Empaque"
"f26727",2021-01-04,"f2672752","55","iacna mexico v","cadillac ip kit mid panel ip rh mid panel",8,"carton producto terminado carton","posted","Kits de Empaque"
"f26727",2021-01-04,"f2672752","55","iacna mexico v","cadillac ip kit driver mid panel lh driver mid panel",6,"carton kit carton","posted","Kits de Empaque"
"f26727",2021-01-04,"f2672752","55","iacna mexico v","cadillac console ind pennisula pennisula console individual",10,"carton producto terminado carton","posted","Otros"
"f26728",2021-01-04,"f2672853","55","iacna mexico v","cadillac console ind pennisula pennisula console individual",40,"carton producto terminado carton","posted","Otros"
"f26728",2021-01-04,"f2672853","55","iacna mexico v","cadillac ind glove box assambly glove box assambly individual",40,"carton producto terminado carton","posted","Empaques Primarios"
"f26729",2021-01-04,"f2672954","40","grupo abc de mexico","car818057 wom front servicio car818057 wom front servicio",30,"carton kit carton","posted","Otros"
"f26730",2021-01-04,"f2673055","40","grupo abc de mexico","car818059 wom rear servicio car818059 wom rear servicio",20,"carton kit carton","posted","Otros"
"f26731",2021-01-04,"f2673156","26","stabilus","425711 as 30 99 0000 00 000 carton celdado honda alabama celdado honda alabama",4,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26732",2021-01-04,"f2673257","26","stabilus","428340 fs 30 99 0000 00 000 tapa deck lid cardboard 1120x1165x762 14332 241b export lid carboard",12,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26732",2021-01-04,"f2673257","26","stabilus","048541 fs 30 99 0000 00 000 carton box 048541 imc 120 048541 imc 120 caja sm",30,"carton producto terminado carton","posted","Empaques Primarios"
"f26733",2021-01-04,"f2673358","26","stabilus","3899vh fs 30 99 0000 00 000 carton box 3899vh 13867 vh 3899 caja",150,"carton producto terminado carton","posted","Empaques Primarios"
"f26733",2021-01-04,"f2673358","26","stabilus","2067wo as 30 99 0000 00 000 tapa box 2067wo box 2067wo",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26734",2021-01-04,"f2673459","26","stabilus","446265 as 30 99 0000 00 000 capa intermedia pad 43x36 daimler 14454 daimler tmc pad 43 x 36",50,"carton producto terminado carton","posted","Materiales de Protección"
"f26735",2021-01-04,"f2673560","26","stabilus","428818 as 30 99 0000 00 000 inserto chrysler insert dj 14142 chrysler insert dj 694087",200,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26736",2021-01-04,"f2673661","26","stabilus","5506kr carton590x380x122rsc box 5506kr kr5506 caja imp azul 1 pieza",80,"carton producto terminado carton","posted","Empaques Primarios"
"f26736",2021-01-04,"f2673661","26","stabilus","426428 as 30 99 0000 00 000 carton box tesla imc 070 box tesla imc 070",240,"carton producto comercializacion carton","posted","Empaques Primarios"
"f26736",2021-01-04,"f2673661","26","stabilus","425950 as 30 99 0000 00 000 carton box 121507 alternate fca box 121507 alternate fca",16,"carton kit carton","posted","Empaques Primarios"
"f26736",2021-01-04,"f2673661","26","stabilus","428579 as 30 99 0000 00 000 inserto ford damper 14306 damper ford dtp inserto",50,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26737",2021-01-04,"f2673762","26","stabilus","426906 as 30 99 0000 00 000 carton charola de carton alterno kia motors 18439 mq4adunnage kia charola armada",48,"carton producto terminado carton","posted","Componentes de Empaque"
"f26738",2021-01-04,"f2673863","26","stabilus","426906 as 30 99 0000 00 000 carton charola de carton alterno kia motors 18439 mq4adunnage kia charola armada",288,"carton producto terminado carton","posted","Componentes de Empaque"
"f26739",2021-01-04,"f2673964","47","stabilus","341332 as 30 99 0000 00 000 inserto u611u625 13802 u611 341332 u625 charola armada",1200,"carton producto terminado carton","posted","Componentes de Empaque"
"f26740",2021-01-04,"f2674065","47","stabilus","927838 fs 30 99 0000 00 000 carton empaque tesla xda90 16487 xda90 927838 charola ensamblada",40,"carton producto terminado carton","posted","Componentes de Empaque"
"f26741",2021-01-04,"f2674166","47","stabilus","444816 fs 30 99 0000 00 000 inserto audi q5 13817 audi q5 charola armada",480,"carton producto terminado carton","posted","Componentes de Empaque"
"f26742",2021-01-04,"f2674267","47","stabilus","539693 caja cc91 539693 caja backup cc91",55,"carton kit carton","posted","Empaques Primarios"
"f26743",2021-01-04,"f2674368","47","stabilus","225671 fs 30 99 0000 00 000 listones triangular esquinero 91cm esquinero 91cm stab 3",500,"carton producto comercializacion carton","posted","Materiales de Protección"
"f26743",2021-01-04,"f2674368","47","stabilus","225910 fs 30 99 0000 00 000 listones triangular esquinero 102cm cardboard corner 102 cm stab 3",200,"carton producto comercializacion carton","posted","Materiales de Protección"
"f26743",2021-01-04,"f2674368","47","stabilus","226149 fs 30 99 0000 00 000 listones triangular esquinero 127cm esquinero 127cm stab 3",500,"carton producto comercializacion carton","posted","Materiales de Protección"
"f26744",2021-01-04,"f2674469","47","stabilus","955061 as 30 99 0000 00 000 inserto 13834 955061 charola armada",2640,"carton producto terminado carton","posted","Componentes de Empaque"
"f26745",2021-01-04,"f2674570","47","stabilus","223264 as 30 99 0000 00 000 inserto gm177 13791 gm177 charola armada",1536,"carton producto terminado carton","posted","Componentes de Empaque"
"f26746",2021-01-04,"f2674671","34","denso mexico","dunnage u725 5x formado de cunas de lona con resaques montado en estructura de plastico corrugado negro + tapas de lona con velcro dunnage cluster u725",70,"retornable producto terminado retornable","posted","Materiales de Protección"
"f26747",2021-01-04,"f2674772","qro","yanfeng international automotive technology mexico","w04003c rear top shoulder lh y0199256 rack rr top shoulder lh yf",4,"retornable producto terminado retornable","posted","Otros"
"f26747",2021-01-04,"f2674772","qro","yanfeng international automotive technology mexico","w04003c rear top shoulder rh y0199256 rack rr top shoulder rh yf",4,"retornable producto terminado retornable","posted","Otros"
"f26747",2021-01-04,"f2674772","qro","yanfeng international automotive technology mexico","w04003c front top shoulder lh y0199256 rack fr top shoulder lh yf",4,"retornable producto terminado retornable","posted","Otros"
"f26747",2021-01-04,"f2674772","qro","yanfeng international automotive technology mexico","w04003c front top shoulder rh y0199256 rack fr top shoulder rh yf",4,"retornable producto terminado retornable","posted","Otros"
"f26748",2021-01-04,"f2674873","qro","yanfeng international automotive technology mexico","w04003c cvr switch ctr base dunnge cvr switch ctr base dunnage",72,"retornable producto terminado retornable","posted","Materiales de Protección"
"f26749",2021-01-04,"f2674974","688155","yanfeng seating mexico","black container 45x48x34 contenedor 48x45x34",55,"retornable producto comercializacion retornable","posted","Contenedores y Tarimas"
"f26751",2021-01-04,"f2675176","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",3200,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26751",2021-01-04,"f2675176","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",3200,"carton kit carton","posted","Componentes de Empaque"
"f26752",2021-01-04,"f2675277","ramos ii","yanfeng international automotive technology mexico","tesla nv26 frl conl end item tesla nv26 frl conl end item",15,"carton kit carton","posted","Otros"
"f26752",2021-01-04,"f2675277","ramos ii","yanfeng international automotive technology mexico","f30015 tesla nv26 flr cnsl end panel tesla nv26 flr cnsl end panel",15,"carton kit carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","caja rsc 180302840 180302840",60,"carton producto terminado carton","posted","Empaques Primarios"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","celda armada 180302870 180302870",80,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180022270 linner cmp1210 linner 180022270 l42 p",2000,"carton producto comercializacion carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180003720 caja rsc 180003720 caja rsc",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180203020 180203020",40,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180203000 180203000",10,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180203030 180203030",100,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180301660 caja 180301660",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180301670 celda armada 180301670",50,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180100790 caja pequeña de carton bmw 473x704x170mm 180100790 caja pequeña de carton bmw 473x704x170mm",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180100820 divisor 180100820",100,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180111940 caja 180111940",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180111980 hsc 180111980 hsc",50,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180111990 celda armada 180111990",100,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180112030 celda armada 180112030 celda armada",50,"carton producto terminado carton","posted","Otros"
"f26753",2021-01-05,"f2675378","65","grupo antolin saltillo","180112040 tapa 180112040",200,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26754",2021-01-05,"f2675479","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26754",2021-01-05,"f2675479","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26755",2021-01-05,"f2675580","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26755",2021-01-05,"f2675580","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26756",2021-01-05,"f2675681","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",160,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26756",2021-01-05,"f2675681","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",160,"carton kit carton","posted","Componentes de Empaque"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","cmp1211 linner 184003040 ds",1000,"carton producto comercializacion carton","posted","Otros"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","caja 180022260 180022260",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","180022270 linner cmp1210 linner 180022270 l42 p",1000,"carton producto comercializacion carton","posted","Otros"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","caja rsc 180020690 180020690",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","180203000 180203000",20,"carton producto terminado carton","posted","Otros"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","180100830 180100830",20,"carton producto terminado carton","posted","Otros"
"f26757",2021-01-05,"f2675782","65","grupo antolin saltillo","180100840 180100840",40,"carton producto terminado carton","posted","Otros"
"f26758",2021-01-05,"f2675883","59","tokai rika mexico","tr10344 caja icp control estereo p702 tr10344 caja icp control estereo p702",500,"carton producto terminado carton","posted","Empaques Primarios"
"f26758",2021-01-05,"f2675883","59","tokai rika mexico","tr10345 tapa icp control estereo p702 tr10345 tapa icp control estereo p702",500,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26760",2021-01-05,"f2676085","17","po lighting mexico","kit outer etapa vff vw316 kit outer etapa vff vw316",110,"carton kit carton","posted","Kits de Empaque"
"f26760",2021-01-05,"f2676085","17","po lighting mexico","kit inner vff vw316 kit inner etapa vff vw316",110,"carton kit carton","posted","Kits de Empaque"
"f26761",2021-01-05,"f2676186","17","po lighting mexico","n61506763 n61506763 kit",200,"carton kit carton","posted","Kits de Empaque"
"f26762",2021-01-05,"f2676287","17","po lighting mexico","n61506747 n61507747 kit",120,"carton kit carton","posted","Kits de Empaque"
"f26762",2021-01-05,"f2676287","17","po lighting mexico","n61506784 juego de caja burbuja nissan titan y ar",120,"carton kit carton","posted","Empaques Primarios"
"f26762",2021-01-05,"f2676287","17","po lighting mexico","n61506770 n61506770 caja",150,"carton producto terminado carton","posted","Empaques Primarios"
"f26762",2021-01-05,"f2676287","17","po lighting mexico","n61506735 n61506735 celdado a 4r b 2r",100,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26763",2021-01-05,"f2676388","17","po lighting mexico","n61506746 n61506746 kit",30,"carton kit carton","posted","Kits de Empaque"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","caja rsc 180302840 180302840",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","celda armada 180302870 180302870",50,"carton producto terminado carton","posted","Otros"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","caja 180022260 180022260",150,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","caja rsc 180020690 180020690",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","184002850 celda armada 184002850 celda armada",50,"carton producto terminado carton","posted","Otros"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","180003720 caja rsc 180003720 caja rsc",100,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","180301660 caja 180301660",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","180301670 celda armada 180301670",50,"carton producto terminado carton","posted","Otros"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","caja rsc 180060190 180060190",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26765",2021-01-05,"f2676590","65","grupo antolin saltillo","180204640 empaque retornable ru cam 180204640 ru camara celda armada",50,"carton producto terminado carton","posted","Otros"
"f26766",2021-01-06,"f2676691","65","grupo antolin saltillo","caja rsc 180302840 180302840",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26766",2021-01-06,"f2676691","65","grupo antolin saltillo","celda armada 180302870 180302870",50,"carton producto terminado carton","posted","Otros"
"f26766",2021-01-06,"f2676691","65","grupo antolin saltillo","180304200 caja 180304200",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26766",2021-01-06,"f2676691","65","grupo antolin saltillo","180205110 celda armada 180205110 celda armada",50,"carton producto terminado carton","posted","Otros"
"f26767",2021-01-06,"f2676792","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26767",2021-01-06,"f2676792","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26768",2021-01-06,"f2676893","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26768",2021-01-06,"f2676893","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26769",2021-01-06,"f2676994","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",160,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26769",2021-01-06,"f2676994","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",160,"carton kit carton","posted","Componentes de Empaque"
"f26770",2021-01-06,"f2677095","18","yanfeng international automotive technology mexico","f30008 rejillas de 52 cav 3957150 3957150 ptndt b upr itb 52 cell 3957150 ptndt b upr itb 52 cell",20,"carton producto terminado carton","posted","Otros"
"f26771",2021-01-06,"f2617279","17","po lighting mexico","n61506809 n61506809 kit",70,"carton kit carton","posted","Kits de Empaque"
"f26772",2021-01-06,"f2677200","17","po lighting mexico","n61506844 caja de carton imc 070 caja carton imc 070 con celda",40,"carton kit carton","posted","Empaques Primarios"
"f26772",2021-01-06,"f2677200","17","po lighting mexico","n61506707 n61506707 caja",10,"carton producto terminado carton","posted","Empaques Primarios"
"f26772",2021-01-06,"f2677200","17","po lighting mexico","n61506706 n61506706 celdado",30,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26772",2021-01-06,"f2677200","17","po lighting mexico","n61506768 kit n61506768",120,"carton kit carton","posted","Kits de Empaque"
"f26772",2021-01-06,"f2677200","17","po lighting mexico","n61506810 kit 27 cav drawing48cp2056",24,"carton kit carton","posted","Kits de Empaque"
"f26773",2021-01-06,"f2677301","17","po lighting mexico","n61506770 n61506770 caja",200,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","caja rsc 180020690 180020690",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","184002850 celda armada 184002850 celda armada",60,"carton producto terminado carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","cmp1211 linner 184003040 ds",3000,"carton producto comercializacion carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180203010 180203010",50,"carton producto terminado carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","caja chmsll 180100320 180100320",60,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","celda chmsll 180100330 180100330",40,"carton producto terminado carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180111940 caja 180111940",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180112030 celda armada 180112030 celda armada",40,"carton producto terminado carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180112040 tapa 180112040",50,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","caja rsc 180060190 180060190",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180205050 caja de carton high roof abw cbw ford high roof rsc",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180205060 celda de carton high roof 12 cav abwcbw ford high roof celdas",50,"carton producto terminado carton","posted","Otros"
"f26792",2021-01-06,"f2679220","65","grupo antolin saltillo","180022300 linner cmp1219 linner 180022300",2000,"carton producto comercializacion carton","posted","Otros"
"f26793",2021-01-07,"f2679321","65","grupo antolin saltillo","caja rsc 180302840 180302840",80,"carton producto terminado carton","posted","Empaques Primarios"
"f26793",2021-01-07,"f2679321","65","grupo antolin saltillo","celda armada 180302870 180302870",60,"carton producto terminado carton","posted","Otros"
"f26793",2021-01-07,"f2679321","65","grupo antolin saltillo","caja 180022260 180022260",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26793",2021-01-07,"f2679321","65","grupo antolin saltillo","180003720 caja rsc 180003720 caja rsc",50,"carton producto terminado carton","posted","Empaques Primarios"
"f26793",2021-01-07,"f2679321","65","grupo antolin saltillo","cmp1213 18030081044 caple 18030081044",2000,"carton producto comercializacion carton","posted","Otros"
"f26794",2021-01-07,"f2679422","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26794",2021-01-07,"f2679422","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26795",2021-01-07,"f2679523","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",270,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26795",2021-01-07,"f2679523","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",270,"carton kit carton","posted","Componentes de Empaque"
"f26796",2021-01-07,"f2679624","ramos ii","yanfeng international automotive technology mexico","y0193938 lid 4825x1525x2 32 ect h stick tapa h stick tapa",160,"carton producto terminado carton","posted","Accesorios de Empaque"
"f26796",2021-01-07,"f2679624","ramos ii","yanfeng international automotive technology mexico","y0193939 kit 48x15x9 2 density packaging expendable h stick caja y celdas h stick kit charola + celda armada + piso",160,"carton kit carton","posted","Componentes de Empaque"
"f26797",2021-01-07,"f2679725","17","po lighting mexico","n61506735 n61506735 celdado a 4r b 2r",70,"carton producto terminado carton","posted","Accesorios de Empaque"
