Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_industria_manufacturera,Poblacion_ocupada,Tasa_de_ocupacion_industria_manufacturera
2020,3,Nayarit,Mujeres,11511,233328,4.933398478
2020,3,Nuevo León,Hombres,434667,1616779,26.88475048
2020,3,Nuevo León,Mujeres,195192,950504,20.53563162
2020,3,Oaxaca,Hombres,69703,1017380,6.851225697
2020,3,Oaxaca,Mujeres,143029,728947,19.62131678
2020,3,Puebla,Hombres,261647,1662146,15.74151729
2020,3,Puebla,Mujeres,192880,1023305,18.84873034
2020,3,Querétaro,Hombres,126021,548377,22.98072312
2020,3,Querétaro,Mujeres,70933,353665,20.05655069
2020,3,Quintana Roo,Hombres,28122,462919,6.074928875
2020,3,Quintana Roo,Mujeres,13788,277693,4.965195378
2020,3,San Luis Potosí,Hombres,160988,734805,21.90894183
2020,3,San Luis Potosí,Mujeres,88412,429513,20.58424308
2020,3,Sinaloa,Hombres,82748,727725,11.3707788
2020,3,Sinaloa,Mujeres,45459,445955,10.1936294
2020,3,Sonora,Hombres,129497,719597,17.99576708
2020,3,Sonora,Mujeres,93700,438902,21.34872933
2020,3,Tabasco,Hombres,39978,552995,7.229360121
2020,3,Tabasco,Mujeres,21566,267884,8.05049947
2020,3,Tamaulipas,Hombres,191240,901264,21.21908786
2020,3,Tamaulipas,Mujeres,130744,567898,23.02244417
2020,3,Tlaxcala,Hombres,85222,324189,26.2877519
2020,3,Tlaxcala,Mujeres,54781,205698,26.63176113
2020,3,Veracruz,Hombres,179562,1987723,9.033552462
2020,3,Veracruz,Mujeres,99955,1111957,8.989106593
2020,3,Yucatán,Hombres,102804,678332,15.15541062
2020,3,Yucatán,Mujeres,73849,398348,18.53881531
2020,3,Zacatecas,Hombres,49172,424841,11.57421247
2020,3,Zacatecas,Mujeres,31689,235526,13.45456553
2020,4,Nacional,Hombres,5389190,32457256,16.60396061
2020,4,Nacional,Mujeres,3352630,20666815,16.22228679
2020,4,Aguascalientes,Hombres,92713,350289,26.46757392
2020,4,Aguascalientes,Mujeres,48791,235503,20.71778279
2020,4,Baja California,Hombres,264481,1022785,25.85890485
2020,4,Baja California,Mujeres,174098,654042,26.61877983
2020,4,Baja California Sur,Hombres,17990,226060,7.958064231
2020,4,Baja California Sur,Mujeres,11668,145513,8.018527554
2020,4,Campeche,Hombres,18978,255391,7.430958804
2020,4,Campeche,Mujeres,11585,147217,7.869335742
2020,4,Coahuila,Hombres,259545,834702,31.09433067
2020,4,Coahuila,Mujeres,135165,505874,26.71910397
2020,4,Colima,Hombres,18069,200485,9.012644337
2020,4,Colima,Mujeres,14197,136181,10.42509601
2020,4,Chiapas,Hombres,95356,1447528,6.587506425
2020,4,Chiapas,Mujeres,65180,593472,10.98282649
2020,4,Chihuahua,Hombres,268092,1004585,26.68684083
2020,4,Chihuahua,Mujeres,215377,641915,33.55226159
2020,4,Ciudad de México,Hombres,239671,2157907,11.10664176
2020,4,Ciudad de México,Mujeres,152780,1732546,8.818236283
2020,4,Durango,Hombres,86151,476857,18.06642243
2020,4,Durango,Mujeres,44134,284913,15.49034267
2020,4,Guanajuato,Hombres,443989,1543768,28.76008571
2020,4,Guanajuato,Mujeres,251435,1046479,24.02676021
2020,4,Guerrero,Hombres,38473,930587,4.134272239
2020,4,Guerrero,Mujeres,68619,554831,12.36754976
2020,4,Hidalgo,Hombres,111684,765664,14.58655494
2020,4,Hidalgo,Mujeres,96007,493112,19.46961339
2020,4,Jalisco,Hombres,421772,2214905,19.042442
2020,4,Jalisco,Mujeres,208977,1432807,14.5851465
2020,4,México,Hombres,801540,4203999,19.06613203
2020,4,México,Mujeres,432576,2656423,16.28415354
2020,4,Michoacán,Hombres,121447,1218107,9.970142196
2020,4,Michoacán,Mujeres,62132,709763,8.753907995
2020,4,Morelos,Hombres,60495,491615,12.3053609
2020,4,Morelos,Mujeres,35002,343312,10.19539078
2020,4,Nayarit,Hombres,26792,352340,7.604018845
2020,4,Nayarit,Mujeres,27677,255716,10.82333526
2020,4,Nuevo León,Hombres,437732,1646560,26.58463706
2020,4,Nuevo León,Mujeres,203813,1000032,20.38064782
2020,4,Oaxaca,Hombres,78243,1086070,7.204231771
2020,4,Oaxaca,Mujeres,140124,777524,18.02182312
2020,4,Puebla,Hombres,262525,1656774,15.84555286
2020,4,Puebla,Mujeres,165981,1120054,14.81901765
2020,4,Querétaro,Hombres,145247,592067,24.53218977
2020,4,Querétaro,Mujeres,79461,394081,20.16362118
2020,4,Quintana Roo,Hombres,35801,503045,7.116858333
2020,4,Quintana Roo,Mujeres,14532,302166,4.80927702
