encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
33,ayudante general,1,otro,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,1,0,bien,comodo,20,masculino,soltero,apodaca,preparatoria,0,Otros,Positivo
34,ayudante general,2,ubicacion empresa,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,1,0,trato mas accesible,contento,24,masculino,soltero,apodaca,preparatoria,0,Ambiente Laboral,Positivo
35,operador,36,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,0,1,clima,comodo,27,masculino,casado,apodaca,secundaria,2,Otros,Positivo
36,ayudante general,11,ambiente trabajo,De Acuerdo,Desacuerdo,Neutro,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,calor prestacioenes bonos transportes quitar sabados,muy comodo,51,femenino,casado,apodaca,secundaria,3,Salario y Prestaciones,Positivo
37,operador,11,otro,Desacuerdo,Desacuerdo,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,Neutro,Desacuerdo,1,0,salario motivacion equipo,mas o menos,43,masculino,casado,apodaca,preparatoria,3,Salario y Prestaciones,Indefinido
38,calidad,3,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,1,0,horario trabajo,comodo,26,femenino,union libre,juarez,licenciatura,0,Horario,Positivo
39,otro,18,ambiente trabajo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,0,1,cargado cansado,comodo,50,femenino,soltero,apodaca,primaria,0,Estrés y Carga de Trabajo,Positivo
40,ayudante general,12,razones personales,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,comodo le gusta,34,femenino,union libre,apodaca,secundaria,2,Otros,Positivo
41,administrativo,36,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,llenado solicitudes,contento realizo,30,femenino,casado,otro,licenciatura,2,Otros,Positivo
42,ayudante general,3,salario,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,cambios area,comodo,34,femenino,casado,guadalupe,secundaria,2,Otros,Positivo
43,costurera,36,otro,Desacuerdo,De Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Neutro,Neutro,Desacuerdo,0,1,ambiente laboral espacio seguridadcomodidad,comodo,43,femenino,casado,apodaca,secundaria,0,Condiciones Laborales,Positivo
44,operador,11,razones personales,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,NA,comodo,51,femenino,soltero,apodaca,secundaria,3,Otros,Positivo
45,administrativo,25,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,personal,estable,25,femenino,soltero,apodaca,preparatoria,0,Otros,Neutro
46,ayudante general,2,ubicacion empresa,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,salario prestaciones capacitan,comodo,21,masculino,soltero,apodaca,secundaria,0,Salario y Prestaciones,Positivo
47,administrativo,36,salario,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,1,0,sistema funcional  falta comunicacion,insegura falta mucha retroalimentacion falta nuestros jefes directos renovaciones contratos dan tiempo forma,28,femenino,union libre,apodaca,licenciatura,2,Otros,Negativo
48,supervisor,36,ambiente trabajo,De Acuerdo,Neutro,De Acuerdo,Neutro,Desacuerdo,Neutro,De Acuerdo,Desacuerdo,0,0,espacio calor,comodo,58,femenino,casado,apodaca,secundaria,0,Condiciones Laborales,Positivo
