"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"as","Asia","aslka","Sri Lanka",2021,11238820,0.33912522111588456,2846161.999999998,8392658.000000002,11238820
"as","Asia","asmac","Macau",2021,136985,0.78976456139434,60447,76538,136985
"as","Asia","asmdv","Maldives",2021,25075,1927.8461538461538,25062,13,25075
"as","Asia","asmmr","Burma",2021,1823741,-0.40168666959523147,-1224396,3048137,1823741
"as","Asia","asmng","Mongolia",2021,1822,0.19162851536952255,293,1529,1822
"as","Asia","asmys","Malaysia",2021,79384072,0.36068614418621814,21042865,58341207,79384072
"as","Asia","asnpl","Nepal",2021,134516,-0.04791025232685706,-6769,141285,134516
"as","Asia","asomn","Oman",2021,3863897,-0.5699913873567198,-5121730,8985627,3863897
"as","Asia","aspak","Pakistan",2021,2642009,-0.06221217785394271,-175269,2817278,2642009
"as","Asia","asphl","Philippines",2021,12769421,-0.43881441819248385,-9984943,22754364,12769421
"as","Asia","asprk","North Korea",2021,2916.0000000000005,-0.5171385991058122,-3122.9999999999995,6039,2916.0000000000005
"as","Asia","aspse","Palestine",2021,1630646,0.12015612774612892,174915,1455731,1630646
"as","Asia","asqat","Qatar",2021,139256,-0.558024095773718,-175820,315076,139256
"as","Asia","assau","Saudi Arabia",2021,89696053,0.4694722304873433,28656415,61039638,89696053
"as","Asia","assgp","Singapore",2021,33749664,0.22664027516268592,6235759,27513905,33749664
"as","Asia","assyr","Syria",2021,645871,7.234054488201022,567432,78439,645871
"as","Asia","astha","Thailand",2021,18075673,0.15347323224923437,2405025,15670648,18075673
"as","Asia","astkm","Turkmenistan",2021,471,-0.9800660233621128,-23156.999999999996,23627.999999999996,471
"as","Asia","astur","Turkey",2021,372281705,0.4298788957117526,111922799,260358906,372281705
"as","Asia","asuzb","Uzbekistan",2021,716884,0.027715536211689182,19333,697551,716884
"as","Asia","asvnm","Vietnam",2021,113911459,0.021819179575733302,2432382,111479077,113911459
"as","Asia","asxxb","Chinese Taipei",2021,42006159,0.1650103018958872,5949689,36056470,42006159
"as","Asia","asyem","Yemen",2021,154354,45.18611609814482,151012,3342,154354
"eu","Europe","eualb","Albania",2021,904188,0.32598717110183634,222290,681898,904188
"eu","Europe","euand","Andorra",2021,5296,-0.6110458284371327,-8320,13616,5296
"eu","Europe","euaut","Austria",2021,405510408,0.21589719440797597,72003258,333507150,405510408
"eu","Europe","eubel","Belgium",2021,288734120,0.23048975695712956,54084365,234649755,288734120
"eu","Europe","eubgr","Bulgaria",2021,10302743,0.1283834001384804,1172209,9130534,10302743
"eu","Europe","eubih","Bosnia and Herzegovina",2021,1588146,0.7311663042234177,670761,917385,1588146
"eu","Europe","eublr","Belarus",2021,4300308,0.7309917510062178,1816005,2484303,4300308
